ComplaintText,Category,Urgency,Area,Latitude,Longitude
Open dumping at Ramnagar Phase 1 needs urgent cleaning and regular collection.,Garbage,Low,Ramnagar Phase 1,15.348504,75.100108
"Garbage pile-up at Idgah Ground Bazaar is attracting flies and rodents, bad smell.",Garbage,Medium,Idgah Ground Bazaar,15.359456,75.105497
"Garbage pile-up at Idgah Ground Phase 1 is attracting flies and rodents, bad smell.",Garbage,Medium,Idgah Ground Phase 1,15.363764,75.146929
"Garbage pile-up at Dharwad Road Block is attracting flies and rodents, bad smell.",Garbage,Low,Dharwad Road Block,15.361999,75.11674
"Waste not collected for days at Navanagar Junction, bins overflowing onto the street.",Garbage,Low,Navanagar Junction,15.372621,75.152033
"Waste not collected for days at Ganeshpet Lane, bins overflowing onto the street.",Garbage,High,Ganeshpet Lane,15.376233,75.097079
"Garbage pile-up at Navanagar Junction is attracting flies and rodents, bad smell.",Garbage,Low,Navanagar Junction,15.362215,75.103772
"Garbage pile-up at Akash Nagar Park is attracting flies and rodents, bad smell.",Garbage,Low,Akash Nagar Park,15.370918,75.140873
Open dumping at Cotton Market Bazaar needs urgent cleaning and regular collection.,Garbage,Low,Cotton Market Bazaar,15.369387,75.126665
"Garbage pile-up at Lamington Road Market is attracting flies and rodents, bad smell.",Garbage,Medium,Lamington Road Market,15.366006,75.145232
Open dumping at Idgah Ground Cross needs urgent cleaning and regular collection.,Garbage,Medium,Idgah Ground Cross,15.362466,75.09437
Open dumping at Station Road Circle needs urgent cleaning and regular collection.,Garbage,Low,Station Road Circle,15.34957,75.119555
Open dumping at Idgah Ground Layout needs urgent cleaning and regular collection.,Garbage,Low,Idgah Ground Layout,15.389525,75.147395
"Garbage pile-up at Tilakwadi Street is attracting flies and rodents, bad smell.",Garbage,High,Tilakwadi Street,15.362939,75.139616
"Waste not collected for days at Gokak Road, bins overflowing onto the street.",Garbage,Low,Gokak Road,15.363456,75.141381
"Garbage pile-up at Bendre Layout Phase 2 is attracting flies and rodents, bad smell.",Garbage,Medium,Bendre Layout Phase 2,15.349131,75.127009
Open dumping at Lamington Road needs urgent cleaning and regular collection.,Garbage,Low,Lamington Road,15.391696,75.101463
"Garbage pile-up at Deshpande Nagar Layout is attracting flies and rodents, bad smell.",Garbage,Low,Deshpande Nagar Layout,15.340144,75.122287
"Garbage pile-up at Gokul Complex Lane is attracting flies and rodents, bad smell.",Garbage,Low,Gokul Complex Lane,15.386175,75.138337
"Waste not collected for days at Tilakwadi, bins overflowing onto the street.",Garbage,Medium,Tilakwadi,15.343017,75.135688
"Waste not collected for days at Hosayellapur Extension, bins overflowing onto the street.",Garbage,Low,Hosayellapur Extension,15.376934,75.093582
"Garbage pile-up at Cotton Market Lane is attracting flies and rodents, bad smell.",Garbage,Medium,Cotton Market Lane,15.376145,75.125355
"Waste not collected for days at Deshpande Nagar Circle, bins overflowing onto the street.",Garbage,Low,Deshpande Nagar Circle,15.376583,75.13025
"Garbage pile-up at Moti Talav Junction is attracting flies and rodents, bad smell.",Garbage,Low,Moti Talav Junction,15.339558,75.146351
"Garbage pile-up at Madhalawada Circle is attracting flies and rodents, bad smell.",Garbage,Low,Madhalawada Circle,15.3893,75.115339
"Garbage pile-up at Bendre Layout is attracting flies and rodents, bad smell.",Garbage,Medium,Bendre Layout,15.362621,75.095952
"Garbage pile-up at Vidyanagar Phase 1 is attracting flies and rodents, bad smell.",Garbage,Low,Vidyanagar Phase 1,15.376992,75.127145
"Garbage pile-up at Vasavi Colony Lane is attracting flies and rodents, bad smell.",Garbage,High,Vasavi Colony Lane,15.354796,75.125878
"Waste not collected for days at Khanapur Road Junction, bins overflowing onto the street.",Garbage,Low,Khanapur Road Junction,15.379837,75.145768
"Garbage pile-up at Patel Road Main Road is attracting flies and rodents, bad smell.",Garbage,Low,Patel Road Main Road,15.380353,75.112728
Open dumping at Basaveshwar Nagar Circle needs urgent cleaning and regular collection.,Garbage,Low,Basaveshwar Nagar Circle,15.351329,75.097302
"Waste not collected for days at Akash Nagar Bazaar, bins overflowing onto the street.",Garbage,Medium,Akash Nagar Bazaar,15.366301,75.100863
Open dumping at Patel Road Park needs urgent cleaning and regular collection.,Garbage,Low,Patel Road Park,15.366671,75.111036
"Waste not collected for days at Sana Market Colony, bins overflowing onto the street.",Garbage,Low,Sana Market Colony,15.391422,75.142028
"Garbage pile-up at Koppikar Road Street is attracting flies and rodents, bad smell.",Garbage,Low,Koppikar Road Street,15.362172,75.09831
"Waste not collected for days at Old Hubli Circle, bins overflowing onto the street.",Garbage,Low,Old Hubli Circle,15.339317,75.103386
Open dumping at Vidyagiri Extension needs urgent cleaning and regular collection.,Garbage,High,Vidyagiri Extension,15.34373,75.105755
"Garbage pile-up at Cotton Market Lane is attracting flies and rodents, bad smell.",Garbage,Medium,Cotton Market Lane,15.392874,75.125986
"Waste not collected for days at Navanagar Phase 1, bins overflowing onto the street.",Garbage,Medium,Navanagar Phase 1,15.361332,75.132181
"Garbage pile-up at Deshpande Nagar Block is attracting flies and rodents, bad smell.",Garbage,High,Deshpande Nagar Block,15.387008,75.10744
Open dumping at RPF Road Street needs urgent cleaning and regular collection.,Garbage,Medium,RPF Road Street,15.369422,75.132846
"Waste not collected for days at Rajiv Gandhi Circle Market, bins overflowing onto the street.",Garbage,Medium,Rajiv Gandhi Circle Market,15.374651,75.12531
"Waste not collected for days at Ring Road Park, bins overflowing onto the street.",Garbage,Medium,Ring Road Park,15.368735,75.147397
"Garbage pile-up at Gokul Complex Block is attracting flies and rodents, bad smell.",Garbage,Low,Gokul Complex Block,15.348307,75.115814
"Garbage pile-up at Deshpande Nagar Market is attracting flies and rodents, bad smell.",Garbage,High,Deshpande Nagar Market,15.351763,75.150873
"Garbage pile-up at Sana Market Circle is attracting flies and rodents, bad smell.",Garbage,Low,Sana Market Circle,15.351815,75.151892
Open dumping at Harolal Road Junction needs urgent cleaning and regular collection.,Garbage,Low,Harolal Road Junction,15.374681,75.102709
"Garbage pile-up at Lamington Road Circle is attracting flies and rodents, bad smell.",Garbage,High,Lamington Road Circle,15.353698,75.101088
"Waste not collected for days at Basaveshwar Nagar Cross, bins overflowing onto the street.",Garbage,Medium,Basaveshwar Nagar Cross,15.368449,75.095581
"Waste not collected for days at Kamalakshi Layout Extension, bins overflowing onto the street.",Garbage,High,Kamalakshi Layout Extension,15.361606,75.152028
"Waste not collected for days at Court Road Park, bins overflowing onto the street.",Garbage,High,Court Road Park,15.336196,75.149364
"Garbage pile-up at Shivanahalli Park is attracting flies and rodents, bad smell.",Garbage,Low,Shivanahalli Park,15.390369,75.102863
Open dumping at Madhalawada Park needs urgent cleaning and regular collection.,Garbage,Low,Madhalawada Park,15.354577,75.135827
"Waste not collected for days at Shankar Sheth Road Colony, bins overflowing onto the street.",Garbage,Low,Shankar Sheth Road Colony,15.37995,75.153144
"Garbage pile-up at Sukhsagar Street is attracting flies and rodents, bad smell.",Garbage,Low,Sukhsagar Street,15.378413,75.148838
Open dumping at Akash Nagar Phase 2 needs urgent cleaning and regular collection.,Garbage,High,Akash Nagar Phase 2,15.363439,75.095905
Open dumping at Appa Ghar Junction needs urgent cleaning and regular collection.,Garbage,High,Appa Ghar Junction,15.336188,75.130551
"Waste not collected for days at Idgah Ground Phase 1, bins overflowing onto the street.",Garbage,Medium,Idgah Ground Phase 1,15.354282,75.129989
Open dumping at Hosayellapur Junction needs urgent cleaning and regular collection.,Garbage,Low,Hosayellapur Junction,15.381577,75.139526
"Garbage pile-up at Hosayellapur Colony is attracting flies and rodents, bad smell.",Garbage,High,Hosayellapur Colony,15.385667,75.134124
Open dumping at Unkal Lake Main Road needs urgent cleaning and regular collection.,Garbage,Medium,Unkal Lake Main Road,15.364128,75.12969
"Garbage pile-up at RPF Road Block is attracting flies and rodents, bad smell.",Garbage,Low,RPF Road Block,15.356364,75.102377
"Waste not collected for days at Station Road Layout, bins overflowing onto the street.",Garbage,Medium,Station Road Layout,15.335431,75.114195
"Waste not collected for days at Gokul Complex Phase 1, bins overflowing onto the street.",Garbage,Low,Gokul Complex Phase 1,15.339956,75.137171
Open dumping at Gandhinagar Junction needs urgent cleaning and regular collection.,Garbage,Low,Gandhinagar Junction,15.382921,75.110818
Open dumping at Mahadevapura Phase 1 needs urgent cleaning and regular collection.,Garbage,Low,Mahadevapura Phase 1,15.36013,75.147286
Open dumping at Navanagar Street needs urgent cleaning and regular collection.,Garbage,Low,Navanagar Street,15.343318,75.111694
"Waste not collected for days at Court Road Lane, bins overflowing onto the street.",Garbage,High,Court Road Lane,15.392306,75.138867
"Garbage pile-up at Unkal Lake Phase 1 is attracting flies and rodents, bad smell.",Garbage,Medium,Unkal Lake Phase 1,15.389565,75.118371
"Waste not collected for days at Gokak Road Main Road, bins overflowing onto the street.",Garbage,Low,Gokak Road Main Road,15.380015,75.101716
"Waste not collected for days at Hosayellapur Market, bins overflowing onto the street.",Garbage,Medium,Hosayellapur Market,15.364135,75.142868
Open dumping at Gokul Complex Extension needs urgent cleaning and regular collection.,Garbage,Medium,Gokul Complex Extension,15.368257,75.121307
"Garbage pile-up at KHB Colony is attracting flies and rodents, bad smell.",Garbage,High,KHB Colony,15.35271,75.131933
"Waste not collected for days at Cotton Market Park, bins overflowing onto the street.",Garbage,High,Cotton Market Park,15.374655,75.110761
"Waste not collected for days at Old Hubli Circle, bins overflowing onto the street.",Garbage,Low,Old Hubli Circle,15.373387,75.095207
"Waste not collected for days at Shivanahalli Circle, bins overflowing onto the street.",Garbage,Medium,Shivanahalli Circle,15.392938,75.129433
Open dumping at Vidyanagar Market needs urgent cleaning and regular collection.,Garbage,Medium,Vidyanagar Market,15.360864,75.108975
"Waste not collected for days at Kinnal Road Lane, bins overflowing onto the street.",Garbage,Low,Kinnal Road Lane,15.383797,75.115892
Open dumping at Madhalawada Phase 1 needs urgent cleaning and regular collection.,Garbage,High,Madhalawada Phase 1,15.350272,75.128399
"Waste not collected for days at Dharwad Road Main Road, bins overflowing onto the street.",Garbage,Medium,Dharwad Road Main Road,15.376297,75.114943
"Waste not collected for days at Koppikar Road Extension, bins overflowing onto the street.",Garbage,Medium,Koppikar Road Extension,15.372875,75.150809
"Waste not collected for days at Vasavi Colony, bins overflowing onto the street.",Garbage,Medium,Vasavi Colony,15.373037,75.09811
Open dumping at Hosayellapur Circle needs urgent cleaning and regular collection.,Garbage,Medium,Hosayellapur Circle,15.340371,75.138658
"Waste not collected for days at Ring Road Phase 2, bins overflowing onto the street.",Garbage,Low,Ring Road Phase 2,15.384309,75.134598
"Waste not collected for days at Deshpande Nagar Bazaar, bins overflowing onto the street.",Garbage,Low,Deshpande Nagar Bazaar,15.376001,75.09925
"Waste not collected for days at Moti Talav Bazaar, bins overflowing onto the street.",Garbage,Low,Moti Talav Bazaar,15.335474,75.12459
"Waste not collected for days at Vidyanagar Park, bins overflowing onto the street.",Garbage,Medium,Vidyanagar Park,15.389954,75.103282
"Garbage pile-up at Idgah Ground Block is attracting flies and rodents, bad smell.",Garbage,Low,Idgah Ground Block,15.384594,75.141206
Open dumping at Gokak Road Layout needs urgent cleaning and regular collection.,Garbage,Low,Gokak Road Layout,15.39185,75.144264
Open dumping at Karnataka Bank Junction Extension needs urgent cleaning and regular collection.,Garbage,Low,Karnataka Bank Junction Extension,15.382855,75.118541
"Garbage pile-up at Gokul Road Circle is attracting flies and rodents, bad smell.",Garbage,Low,Gokul Road Circle,15.390105,75.122271
Open dumping at Gokul Complex Junction needs urgent cleaning and regular collection.,Garbage,Medium,Gokul Complex Junction,15.383722,75.146884
Open dumping at Sindgi Cross Cross needs urgent cleaning and regular collection.,Garbage,Low,Sindgi Cross Cross,15.355223,75.136094
Open dumping at Sanjay Nagar needs urgent cleaning and regular collection.,Garbage,Low,Sanjay Nagar,15.348041,75.144909
Open dumping at Dharwad Road Market needs urgent cleaning and regular collection.,Garbage,Medium,Dharwad Road Market,15.342221,75.101313
"Waste not collected for days at Gokul Road Colony, bins overflowing onto the street.",Garbage,Low,Gokul Road Colony,15.381742,75.098164
"Waste not collected for days at Vasavi Colony Block, bins overflowing onto the street.",Garbage,Low,Vasavi Colony Block,15.337251,75.099969
Open dumping at Rajiv Gandhi Circle Layout needs urgent cleaning and regular collection.,Garbage,Low,Rajiv Gandhi Circle Layout,15.338256,75.100635
"Garbage pile-up at Shivalli Circle Junction is attracting flies and rodents, bad smell.",Garbage,High,Shivalli Circle Junction,15.374755,75.138773
"Garbage pile-up at Vasavi Colony Park is attracting flies and rodents, bad smell.",Garbage,Low,Vasavi Colony Park,15.347024,75.14757
Open dumping at Hosayellapur Extension needs urgent cleaning and regular collection.,Garbage,Medium,Hosayellapur Extension,15.340147,75.144252
Open dumping at Jubilee Circle Main Road needs urgent cleaning and regular collection.,Garbage,Medium,Jubilee Circle Main Road,15.344333,75.123538
Open dumping at Madhalawada Cross needs urgent cleaning and regular collection.,Garbage,Medium,Madhalawada Cross,15.368914,75.099446
"Garbage pile-up at Moti Talav Street is attracting flies and rodents, bad smell.",Garbage,Low,Moti Talav Street,15.377649,75.151356
Open dumping at Old Hubli Market needs urgent cleaning and regular collection.,Garbage,High,Old Hubli Market,15.378221,75.148954
Open dumping at Gandhi Chowk Park needs urgent cleaning and regular collection.,Garbage,Medium,Gandhi Chowk Park,15.376588,75.104608
"Garbage pile-up at Appa Ghar Main Road is attracting flies and rodents, bad smell.",Garbage,Medium,Appa Ghar Main Road,15.355989,75.116277
Open dumping at Idgah Ground Extension needs urgent cleaning and regular collection.,Garbage,Medium,Idgah Ground Extension,15.341471,75.152577
"Waste not collected for days at Vidyagiri Park, bins overflowing onto the street.",Garbage,High,Vidyagiri Park,15.342855,75.139236
"Waste not collected for days at Patel Road Phase 2, bins overflowing onto the street.",Garbage,Low,Patel Road Phase 2,15.337137,75.113187
"Waste not collected for days at Vidyagiri Block, bins overflowing onto the street.",Garbage,Medium,Vidyagiri Block,15.370723,75.11222
"Waste not collected for days at Harolal Road Park, bins overflowing onto the street.",Garbage,Medium,Harolal Road Park,15.359137,75.152598
"Garbage pile-up at Station Road Circle is attracting flies and rodents, bad smell.",Garbage,Low,Station Road Circle,15.388385,75.141646
"Waste not collected for days at Appa Ghar Colony, bins overflowing onto the street.",Garbage,Medium,Appa Ghar Colony,15.394623,75.122999
"Waste not collected for days at Hubballi Railway Station Layout, bins overflowing onto the street.",Garbage,Medium,Hubballi Railway Station Layout,15.374213,75.0986
"Waste not collected for days at Dharwad Road Cross, bins overflowing onto the street.",Garbage,Medium,Dharwad Road Cross,15.370133,75.099603
"Garbage pile-up at Kelgeri Lake Street is attracting flies and rodents, bad smell.",Garbage,Medium,Kelgeri Lake Street,15.346645,75.105516
"Garbage pile-up at Shanti Nagar Bazaar is attracting flies and rodents, bad smell.",Garbage,Medium,Shanti Nagar Bazaar,15.360182,75.123447
Open dumping at Shivanahalli Circle needs urgent cleaning and regular collection.,Garbage,Low,Shivanahalli Circle,15.370319,75.138878
Open dumping at Mahadevapura Market needs urgent cleaning and regular collection.,Garbage,Low,Mahadevapura Market,15.356066,75.133501
"Waste not collected for days at Tilakwadi Extension, bins overflowing onto the street.",Garbage,Low,Tilakwadi Extension,15.343542,75.120778
"Waste not collected for days at Vidyagiri Colony, bins overflowing onto the street.",Garbage,Medium,Vidyagiri Colony,15.348549,75.150044
"Garbage pile-up at Gandhi Chowk is attracting flies and rodents, bad smell.",Garbage,Low,Gandhi Chowk,15.384519,75.123388
"Garbage pile-up at KHB Colony is attracting flies and rodents, bad smell.",Garbage,Medium,KHB Colony,15.375452,75.102664
Open dumping at Sana Market Park needs urgent cleaning and regular collection.,Garbage,High,Sana Market Park,15.339291,75.138597
"Waste not collected for days at Shivanahalli Colony, bins overflowing onto the street.",Garbage,Low,Shivanahalli Colony,15.346816,75.133226
Open dumping at Sanjay Nagar Street needs urgent cleaning and regular collection.,Garbage,Medium,Sanjay Nagar Street,15.355317,75.14508
"Garbage pile-up at Ring Road Junction is attracting flies and rodents, bad smell.",Garbage,Low,Ring Road Junction,15.336596,75.119324
"Waste not collected for days at Vidyagiri Phase 2, bins overflowing onto the street.",Garbage,Medium,Vidyagiri Phase 2,15.385872,75.120053
"Garbage pile-up at Police Colony is attracting flies and rodents, bad smell.",Garbage,Medium,Police Colony,15.374265,75.140263
"Garbage pile-up at Patel Road Circle is attracting flies and rodents, bad smell.",Garbage,Medium,Patel Road Circle,15.342769,75.136443
"Garbage pile-up at Sanjay Nagar Junction is attracting flies and rodents, bad smell.",Garbage,Low,Sanjay Nagar Junction,15.364133,75.126727
Open dumping at Ring Road Lane needs urgent cleaning and regular collection.,Garbage,Medium,Ring Road Lane,15.368435,75.102879
"Waste not collected for days at Koppikar Road Lane, bins overflowing onto the street.",Garbage,Medium,Koppikar Road Lane,15.370163,75.116168
"Waste not collected for days at Appa Ghar Layout, bins overflowing onto the street.",Garbage,Low,Appa Ghar Layout,15.351766,75.097185
"Garbage pile-up at Police Colony Junction is attracting flies and rodents, bad smell.",Garbage,High,Police Colony Junction,15.356685,75.142073
"Garbage pile-up at Police Colony Lane is attracting flies and rodents, bad smell.",Garbage,Low,Police Colony Lane,15.372209,75.116334
"Waste not collected for days at Station Road Circle, bins overflowing onto the street.",Garbage,Low,Station Road Circle,15.359416,75.096887
"Garbage pile-up at Shivalli Circle Market is attracting flies and rodents, bad smell.",Garbage,Medium,Shivalli Circle Market,15.353426,75.098597
"Garbage pile-up at Kinnal Road Main Road is attracting flies and rodents, bad smell.",Garbage,Low,Kinnal Road Main Road,15.341568,75.103687
"Waste not collected for days at Ring Road Cross, bins overflowing onto the street.",Garbage,High,Ring Road Cross,15.374166,75.118848
"Waste not collected for days at RPF Road Layout, bins overflowing onto the street.",Garbage,Medium,RPF Road Layout,15.376458,75.128779
"Waste not collected for days at Kamalakshi Layout Extension, bins overflowing onto the street.",Garbage,Low,Kamalakshi Layout Extension,15.354045,75.099364
"Garbage pile-up at Sanjay Nagar Colony is attracting flies and rodents, bad smell.",Garbage,Low,Sanjay Nagar Colony,15.347054,75.123304
Open dumping at Mahadevapura Colony needs urgent cleaning and regular collection.,Garbage,Medium,Mahadevapura Colony,15.37159,75.1153
"Garbage pile-up at Gandhinagar Cross is attracting flies and rodents, bad smell.",Garbage,Medium,Gandhinagar Cross,15.38554,75.140729
Open dumping at Harolal Road Colony needs urgent cleaning and regular collection.,Garbage,Medium,Harolal Road Colony,15.350609,75.111339
"Waste not collected for days at Moti Talav Layout, bins overflowing onto the street.",Garbage,Low,Moti Talav Layout,15.372174,75.150976
Open dumping at Karnataka Bank Junction Main Road needs urgent cleaning and regular collection.,Garbage,High,Karnataka Bank Junction Main Road,15.35491,75.097536
Open dumping at Mahadevapura Market needs urgent cleaning and regular collection.,Garbage,Medium,Mahadevapura Market,15.347284,75.141239
"Waste not collected for days at Khanapur Road Street, bins overflowing onto the street.",Garbage,Low,Khanapur Road Street,15.352695,75.133307
"Garbage pile-up at Gokul Complex Colony is attracting flies and rodents, bad smell.",Garbage,Medium,Gokul Complex Colony,15.349776,75.124422
Open dumping at Appa Ghar Lane needs urgent cleaning and regular collection.,Garbage,Medium,Appa Ghar Lane,15.335816,75.1357
Open dumping at Hosayellapur Cross needs urgent cleaning and regular collection.,Garbage,Medium,Hosayellapur Cross,15.374348,75.142934
"Waste not collected for days at Shankar Sheth Road Block, bins overflowing onto the street.",Garbage,Low,Shankar Sheth Road Block,15.366663,75.130365
"Waste not collected for days at Shivanahalli Street, bins overflowing onto the street.",Garbage,Low,Shivanahalli Street,15.378297,75.097093
"Waste not collected for days at Ganeshpet Market, bins overflowing onto the street.",Garbage,Medium,Ganeshpet Market,15.349122,75.138286
"Waste not collected for days at Shivanahalli Circle, bins overflowing onto the street.",Garbage,Low,Shivanahalli Circle,15.359316,75.145111
Open dumping at Koppikar Road Colony needs urgent cleaning and regular collection.,Garbage,Medium,Koppikar Road Colony,15.359446,75.142923
"Garbage pile-up at Khanapur Road Phase 2 is attracting flies and rodents, bad smell.",Garbage,Medium,Khanapur Road Phase 2,15.370774,75.117852
"Garbage pile-up at Vidyagiri Cross is attracting flies and rodents, bad smell.",Garbage,Medium,Vidyagiri Cross,15.349435,75.143134
"Waste not collected for days at Shankar Sheth Road Market, bins overflowing onto the street.",Garbage,Low,Shankar Sheth Road Market,15.360868,75.132315
"Garbage pile-up at Sindgi Cross is attracting flies and rodents, bad smell.",Garbage,High,Sindgi Cross,15.342886,75.109004
"Waste not collected for days at Mahadevapura Lane, bins overflowing onto the street.",Garbage,Low,Mahadevapura Lane,15.345259,75.144651
"Waste not collected for days at Karnataka Bank Junction Junction, bins overflowing onto the street.",Garbage,Low,Karnataka Bank Junction Junction,15.33802,75.14729
Open dumping at Gokul Complex Park needs urgent cleaning and regular collection.,Garbage,Medium,Gokul Complex Park,15.338515,75.150805
Open dumping at Vidyanagar Lane needs urgent cleaning and regular collection.,Garbage,Low,Vidyanagar Lane,15.340118,75.15009
"Garbage pile-up at Karnataka Bank Junction Park is attracting flies and rodents, bad smell.",Garbage,Medium,Karnataka Bank Junction Park,15.368958,75.123515
Open dumping at Vidyagiri Circle needs urgent cleaning and regular collection.,Garbage,Low,Vidyagiri Circle,15.369525,75.140007
"Waste not collected for days at Court Road Lane, bins overflowing onto the street.",Garbage,Medium,Court Road Lane,15.340115,75.129489
"Waste not collected for days at Vasavi Colony Cross, bins overflowing onto the street.",Garbage,Medium,Vasavi Colony Cross,15.36976,75.116897
Open dumping at Ramnagar Phase 2 needs urgent cleaning and regular collection.,Garbage,Medium,Ramnagar Phase 2,15.360072,75.102157
"Garbage pile-up at Old Hubli Main Road is attracting flies and rodents, bad smell.",Garbage,Low,Old Hubli Main Road,15.361069,75.108758
"Garbage pile-up at Police Colony Circle is attracting flies and rodents, bad smell.",Garbage,Medium,Police Colony Circle,15.357182,75.150423
Open dumping at Kamalakshi Layout Extension needs urgent cleaning and regular collection.,Garbage,Medium,Kamalakshi Layout Extension,15.375664,75.151299
"Garbage pile-up at Vasavi Colony Bazaar is attracting flies and rodents, bad smell.",Garbage,Medium,Vasavi Colony Bazaar,15.37764,75.142782
Open dumping at Vidyanagar needs urgent cleaning and regular collection.,Garbage,Low,Vidyanagar,15.371049,75.143988
"Garbage pile-up at Sukhsagar Circle is attracting flies and rodents, bad smell.",Garbage,Low,Sukhsagar Circle,15.382028,75.107881
"Waste not collected for days at Gokak Road Market, bins overflowing onto the street.",Garbage,Medium,Gokak Road Market,15.392209,75.115271
Open dumping at Mahadevapura Park needs urgent cleaning and regular collection.,Garbage,High,Mahadevapura Park,15.386717,75.144959
"Garbage pile-up at Mahamane Layout Street is attracting flies and rodents, bad smell.",Garbage,Low,Mahamane Layout Street,15.358279,75.15218
"Waste not collected for days at Shivalli Circle Park, bins overflowing onto the street.",Garbage,High,Shivalli Circle Park,15.384062,75.107628
"Garbage pile-up at Ganeshpet Colony is attracting flies and rodents, bad smell.",Garbage,Low,Ganeshpet Colony,15.372581,75.146268
Open dumping at Shivanahalli Colony needs urgent cleaning and regular collection.,Garbage,Medium,Shivanahalli Colony,15.336733,75.145487
"Waste not collected for days at Bendre Layout Layout, bins overflowing onto the street.",Garbage,Medium,Bendre Layout Layout,15.359478,75.14397
"Waste not collected for days at Karnataka Bank Junction Main Road, bins overflowing onto the street.",Garbage,Low,Karnataka Bank Junction Main Road,15.383914,75.142964
"Waste not collected for days at Patel Road Market, bins overflowing onto the street.",Garbage,Low,Patel Road Market,15.355811,75.129627
Open dumping at Mahadevapura Street needs urgent cleaning and regular collection.,Garbage,Low,Mahadevapura Street,15.361896,75.095141
Open dumping at Harolal Road needs urgent cleaning and regular collection.,Garbage,Low,Harolal Road,15.372509,75.140961
"Garbage pile-up at Navanagar Junction is attracting flies and rodents, bad smell.",Garbage,Medium,Navanagar Junction,15.372398,75.112323
"Garbage pile-up at Unkal Lake Extension is attracting flies and rodents, bad smell.",Garbage,High,Unkal Lake Extension,15.365682,75.15168
Open dumping at Harolal Road Market needs urgent cleaning and regular collection.,Garbage,Low,Harolal Road Market,15.385518,75.134645
"Waste not collected for days at Rajiv Gandhi Circle Phase 2, bins overflowing onto the street.",Garbage,Medium,Rajiv Gandhi Circle Phase 2,15.38711,75.101511
Open dumping at Old Hubli Lane needs urgent cleaning and regular collection.,Garbage,Low,Old Hubli Lane,15.354355,75.110408
"Waste not collected for days at Unkal Lake Cross, bins overflowing onto the street.",Garbage,Medium,Unkal Lake Cross,15.35831,75.116139
Open dumping at Harolal Road Main Road needs urgent cleaning and regular collection.,Garbage,Medium,Harolal Road Main Road,15.391587,75.148887
Open dumping at Khanapur Road Layout needs urgent cleaning and regular collection.,Garbage,Low,Khanapur Road Layout,15.389111,75.151948
"Waste not collected for days at Hosayellapur Bazaar, bins overflowing onto the street.",Garbage,Low,Hosayellapur Bazaar,15.344825,75.117562
Open dumping at Station Road Junction needs urgent cleaning and regular collection.,Garbage,Medium,Station Road Junction,15.340044,75.115575
"Garbage pile-up at Moti Talav Market is attracting flies and rodents, bad smell.",Garbage,High,Moti Talav Market,15.36625,75.139902
Open dumping at KHB Colony Main Road needs urgent cleaning and regular collection.,Garbage,Medium,KHB Colony Main Road,15.348169,75.105689
"Waste not collected for days at Mahadevapura Street, bins overflowing onto the street.",Garbage,Medium,Mahadevapura Street,15.36435,75.101312
Open dumping at Ganeshpet Phase 2 needs urgent cleaning and regular collection.,Garbage,Medium,Ganeshpet Phase 2,15.384145,75.137102
"Waste not collected for days at Hosayellapur Block, bins overflowing onto the street.",Garbage,Medium,Hosayellapur Block,15.382248,75.095226
"Garbage pile-up at Basaveshwar Nagar Block is attracting flies and rodents, bad smell.",Garbage,Low,Basaveshwar Nagar Block,15.38914,75.115678
Open dumping at Kinnal Road Market needs urgent cleaning and regular collection.,Garbage,Medium,Kinnal Road Market,15.335319,75.101492
Open dumping at Kamalakshi Layout Phase 2 needs urgent cleaning and regular collection.,Garbage,Medium,Kamalakshi Layout Phase 2,15.347433,75.11651
Open dumping at Station Road Block needs urgent cleaning and regular collection.,Garbage,Low,Station Road Block,15.339083,75.12692
"Waste not collected for days at Harolal Road, bins overflowing onto the street.",Garbage,Low,Harolal Road,15.362956,75.114758
Open dumping at Sindgi Cross Colony needs urgent cleaning and regular collection.,Garbage,Low,Sindgi Cross Colony,15.370594,75.138395
"Garbage pile-up at Madhalawada is attracting flies and rodents, bad smell.",Garbage,Medium,Madhalawada,15.371879,75.11165
Open dumping at Shanti Nagar Main Road needs urgent cleaning and regular collection.,Garbage,Medium,Shanti Nagar Main Road,15.392783,75.127074
"Garbage pile-up at Police Colony Extension is attracting flies and rodents, bad smell.",Garbage,Medium,Police Colony Extension,15.364925,75.14932
"Garbage pile-up at Shankar Sheth Road Main Road is attracting flies and rodents, bad smell.",Garbage,High,Shankar Sheth Road Main Road,15.377315,75.119476
"Garbage pile-up at Basaveshwar Nagar Cross is attracting flies and rodents, bad smell.",Garbage,Medium,Basaveshwar Nagar Cross,15.393411,75.123453
"Waste not collected for days at Harolal Road Main Road, bins overflowing onto the street.",Garbage,Low,Harolal Road Main Road,15.390274,75.110476
Open dumping at Basaveshwar Nagar Main Road needs urgent cleaning and regular collection.,Garbage,Low,Basaveshwar Nagar Main Road,15.390303,75.124518
"Garbage pile-up at Gandhinagar Cross is attracting flies and rodents, bad smell.",Garbage,Medium,Gandhinagar Cross,15.394374,75.139321
Open dumping at Dharwad Road Junction needs urgent cleaning and regular collection.,Garbage,Low,Dharwad Road Junction,15.374145,75.141393
"Garbage pile-up at Koppikar Road Extension is attracting flies and rodents, bad smell.",Garbage,High,Koppikar Road Extension,15.348492,75.095652
"Garbage pile-up at Basaveshwar Nagar Cross is attracting flies and rodents, bad smell.",Garbage,Low,Basaveshwar Nagar Cross,15.360886,75.153212
